name,city,state,good_suggestion,bad_suggestion,period
Little Mountain Coffee,Vancouver,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Little Mountain Coffee,Vancouver,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Zesto - Atlanta,Atlanta,GA,['It is good to see that the food in your shop is soft and keep it.'],"['The waitress is a little rude, it may make customer feel bad, please improve it.', 'Chocolate food looks not good in your shop and tries to improve it.', 'The food in your shop seems not fit with the taste of consumers, try to make them more delicious.']",pre covid
Zesto - Atlanta,Atlanta,GA,"['The service here is very good, please keep it good.']","['The food in your shop seems too hard for consumer. Trt to improve it.', 'Chocolate food looks not good in your shop and tries to improve it.', 'The service is not very good, it may make customer feel disappointing, please improve it']",after covid
Pinkberry,Atlanta,GA,"['It is good to see that the food in your shop is delicious and keep it.', 'It is good to see that the food in your shop is refreshing and keep it something new to attract people.', 'The service here is very good, please keep it good.']","['The service is somehow poor, please spend more time on improving service process.']",pre covid
Pinkberry,Atlanta,GA,['It is good to see that the food in your shop is delicious and keep it.'],"['The waitress is a little rude, it may make customer feel bad, please improve it.']",after covid
Petunia's Pies & Pastries,Portland,OR,"['It is good to see that the food in your shop is delicious and keep it.', 'It is good to see that the food in your shop is delicious and keep it.', 'It is good and keep to make delicious chocolate food.']","['The service is not very good, it may make customer feel bad, please improve it.', 'Mint food looks not to the taste of consumers and tries to improve it.', 'The cream in your shop is not very popular for consumers and try to improve it.']",pre covid
Petunia's Pies & Pastries,Portland,OR,"['It is good to see that the food in your shop is delicious and keep it.', 'The service here is very good, please keep it good.', 'It is good and keep to make delicious chocolate food.']","['Mint food looks not to the taste of consumers and tries to improve it.', 'The buttuer in your shop is not very popular for consumers and try to improve it.', 'Vanilla food looks not good in your shop and try to improve it.']",after covid
Slugger's Dugout,Boston,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Slugger's Dugout,Boston,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
David's Pizza,Quincy,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
David's Pizza,Quincy,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Cartems Donuts,Vancouver,BC,"['It is good to see that the food in your shop is delicious and keep it.', 'It is good and keep to make delicious chocolate food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Cartems Donuts,Vancouver,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Cruisers Frozen Yogurt,Titusville,FL,"['It is good to see that the food in your shop is delicious and keep it.', 'The environment is very good, people like it very much.']",['Vanilla food looks not good in your shop and try to improve it.'],pre covid
Cruisers Frozen Yogurt,Titusville,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Frollz,Braintree,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Frollz,Braintree,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Frozen Hoagies Truck,Boston,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Frozen Hoagies Truck,Boston,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Smith & Adams Confections,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Smith & Adams Confections,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Cold Stone Creamery,Orlando,FL,"['It is good to see that the food in your shop is delicious and keep it.', 'The service here is very good, please keep it good.', 'It is good and keep to make delicious vanilla food.']","['The waitress is a little rude, it may make customer feel bad, please improve it.', 'The soupy in your shop is not very popular for consumers and try to improve it.', 'The service is mediocre, please improve it.']",pre covid
Cold Stone Creamery,Orlando,FL,"['The service here is very good, please keep it good.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Ice Queens,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Ice Queens,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Nella's Pizza,Reading,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The service is not very good, it may make customer feel bad, please improve it.']",pre covid
Nella's Pizza,Reading,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The food in your shop seems too hard for consumer. Trt to improve it.', 'The enviornment seems a bit cheap, it may make customer feel bad, please improve it.']",after covid
Herrell's Ice Cream,Cambridge,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Herrell's Ice Cream,Cambridge,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Yeti Yogurt,North Vancouver,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Yeti Yogurt,North Vancouver,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Orange Leaf Frozen Yogurt,Ocoee,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Orange Leaf Frozen Yogurt,Ocoee,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Lily's Italian Ice & Dairy Bar,Lake Mary,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Lily's Italian Ice & Dairy Bar,Lake Mary,FL,"['It is good and keep to make delicious chocolate food.', 'It is good and keep to make delicious mint food.']","['The food in your shop seems not soft or too soft for consumer. Trt to improve it.', 'Vanilla food looks not good in your shop and try to improve it.']",after covid
Yogen Früz - Universal,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Yogen Früz - Universal,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Sonic Drive-In,Vancouver,WA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The waitress is a little rude, it may make customer feel bad, please improve it.', 'The food in your shop seems not fit with the taste of consumers, try to make them more delicious.']",pre covid
Sonic Drive-In,Vancouver,WA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The service is mediocre, please improve it.', 'The service is somehow poor, please spend more time on improving service process.']",after covid
Baskin-Robbins,Kissimmee,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Mint food looks not to the taste of consumers and tries to improve it.', 'The buttuer in your shop is not very popular for consumers and try to improve it.']",pre covid
Baskin-Robbins,Kissimmee,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The service is not very good, it may make customer feel bad, please improve it.', 'The service is not very good, it may make customer feel bad, please improve it.', 'The service is somehow poor, please spend more time on improving service process.']",after covid
Friendly's,Saugus,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The food in your shop seems not fit with the taste of consumers, try to make them more delicious.', 'The food in your shop seems too hard for consumer. Trt to improve it.', 'The service is not very good, it may make customer feel bad, please improve it.']",pre covid
Friendly's,Saugus,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Cold As Ice Frozen Yogurt,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Cold As Ice Frozen Yogurt,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Helados Juli's Frozen Dessert,Boston,MA,"['It is good and keep to make delicious chocolate food.', 'People like your sweet food in your shop and keep it.']",['The cream in your shop is not very popular for consumers and try to improve it.'],pre covid
Helados Juli's Frozen Dessert,Boston,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Cookie Monstah - Food Truck,Danvers,MA,"['It is good to see that the food in your shop is soft and keep it.', 'It is good and keep to make delicious chocolate food.', 'The cream in your shop is very popular for consumers and keep it good.']","['Your home made food  is not very popular for consumers and try to improve it.', 'Vanilla food looks not good in your shop and try to improve it.']",pre covid
Cookie Monstah - Food Truck,Danvers,MA,['It is good to see that the food in your shop is delicious and keep it.'],"['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
The Little Store,Portland,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The waitress is a little rude, it may make customer feel bad, please improve it.']",pre covid
The Little Store,Portland,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
The Sweet Shoppe,Lake Mary,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
The Sweet Shoppe,Lake Mary,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Baskin-Robbins,Oviedo,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Baskin-Robbins,Oviedo,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Yogo Berry,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Yogo Berry,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Sonic Drive-In,Del Valle,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The waitress is a little rude, it may make customer feel bad, please improve it.', 'The service is not very good, it may make customer feel bad, please improve it.']",pre covid
Sonic Drive-In,Del Valle,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The service is not very good, it may make customer feel bad, please improve it.']",after covid
Bassotto Gelateria,Portland,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Bassotto Gelateria,Portland,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Peachwave Frozen Yogurt,Tigard,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Peachwave Frozen Yogurt,Tigard,OR,['It is good to see that the food in your shop is delicious and keep it.'],"['The service is not very good, it may make customer feel bad, please improve it.']",after covid
Local Girls Hawaiian Shave Ice & Grill,Portland,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Local Girls Hawaiian Shave Ice & Grill,Portland,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
iYo Cafe,Somerville,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
iYo Cafe,Somerville,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Mix 'n' Match Creamery Cafe,Portland,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Mix 'n' Match Creamery Cafe,Portland,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
39 Below FroYo,Columbus,OH,"['It is good to see that the food in your shop is delicious and keep it.', 'The cream in your shop is very popular for consumers and keep it good.', 'The honey in your shop is very popular for consumers and keep it good.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
39 Below FroYo,Columbus,OH,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Ben & Jerry’s,Cambridge,MA,['It is good to see that the food in your shop is delicious and keep it.'],"['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Ben & Jerry’s,Cambridge,MA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The server may be a little disrespectful, it may make customer feel disappointing, please improve it']",after covid
The Scoop N Scootery,Allston,MA,"['The cream in your shop is very popular for consumers and keep it good.', 'The deliver in your shop is good, keep it.', 'It is good and keep to make delicious vanilla food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
The Scoop N Scootery,Allston,MA,"['It is good and keep to make delicious chocolate food.', 'The buttuer in your shop is very popular for consumers and keep it good.', 'It is good and keep to make delicious vanilla food.']","['The food in your shop seems not fit with the taste of consumers, try to make them more delicious.', 'The service is not very good, it may make customer feel disappointing, please improve it', 'The deliver in your shop may not be very quick and ordered. Please improve it.']",after covid
Ono Shave Ice,Portland,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Ono Shave Ice,Portland,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Yogurberry,Atlanta,GA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Yogurberry,Atlanta,GA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Sprinkles Frozen Yogurt,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Sprinkles Frozen Yogurt,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Fifty Licks Ice Cream,Portland,OR,"['It is good to see that the food in your shop is soft and keep it.', 'The cream in your shop is very popular for consumers and keep it good.', 'It is good and keep to make delicious vanilla food.']","['The waitress is a little rude, it may make customer feel bad, please improve it.', 'Chocolate food looks not good in your shop and tries to improve it.', 'The service is not very good, it may make customer feel disappointing, please improve it']",pre covid
Fifty Licks Ice Cream,Portland,OR,"['It is good to see that the food in your shop is delicious and keep it.', 'The cream in your shop is very popular for consumers and keep it good.']","['The food in your shop seems too hard for consumer. Trt to improve it.', 'Chocolate food looks not good in your shop and tries to improve it.']",after covid
Prime Time Chicken,Vancouver,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Prime Time Chicken,Vancouver,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The service is mediocre, please improve it.', 'The food in your shop seems not fit with the taste of consumers, try to make them more delicious.']",after covid
Casey's New Orleans Snowballs,Austin,TX,"['It is good to see that the food in your shop is delicious and keep it.', 'It is good and keep to make delicious vanilla food.', 'The server here is courtesy, please keep it good.']","['The food in your shop seems not soft or too soft for consumer. Trt to improve it.', 'Your home made food  is not very popular for consumers and try to improve it.']",pre covid
Casey's New Orleans Snowballs,Austin,TX,"['It is good to see that the food in your shop is soft and keep it.', 'The service here is very good, please keep it good.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Yogurt Breeze,Orlando,FL,"['The environment is very good, people like it very much.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Yogurt Breeze,Orlando,FL,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The service is not very good, it may make customer feel bad, please improve it.', 'The food in your shop seems not fit with the taste of consumers, try to make them more delicious.']",after covid
Menchie's Frozen Yogurt,Hillsboro,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['The enviornment seems a bit cheap, it may make customer feel bad, please improve it.']",pre covid
Menchie's Frozen Yogurt,Hillsboro,OR,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Vintage Frozen Custard,Atlanta,GA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Vintage Frozen Custard,Atlanta,GA,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Yumilicious,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",pre covid
Yumilicious,Austin,TX,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
Sugar Factory,Orlando,FL,"['It is good to see that the food in your shop is delicious and keep it.', 'The environment is very good, people like it very much.', 'It is good and keep to make delicious chocolate food.']","['The waitress is a little rude, it may make customer feel bad, please improve it.', 'The service is not very good, it may make customer feel bad, please improve it.', 'The service is somehow poor, please spend more time on improving service process.']",pre covid
Sugar Factory,Orlando,FL,"['It is good to see that the food in your shop is delicious and keep it.', 'It is good and keep to make delicious chocolate food.', 'The air is very good, people like it very much.']","['The waitress is a little rude, it may make customer feel bad, please improve it.', 'The food in your shop seems too hard for consumer. Trt to improve it.', 'Vanilla food looks not good in your shop and try to improve it.']",after covid
Snowy Village,Vancouver,BC,['It is good to see that the food in your shop is refreshing and keep it something new to attract people.'],"['The shop is  crowded, try to arrange people more suitable to make your shop uncrowded.']",pre covid
Snowy Village,Vancouver,BC,"['Not enough data to support analysis, please see general suggestion instead. In general, please maintain the taste of your food.']","['Not enough data to support analysis, please see general suggestion instead. In general, please improve your delivery service.']",after covid
