Unnamed: 0,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
965,AFhbVnKpqV4CZYkM3hfEIQ,Tiff's Treats,1235 E 51st St,Austin,TX,78723,30.3072825431,-97.7069347793,4.5,22,1,"{'RestaurantsTakeOut': 'True', 'WiFi': ""'no'"", 'RestaurantsDelivery': 'True', 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'RestaurantsPriceRange2': '1'}","Food, Food Delivery Services, Desserts, Ice Cream & Frozen Yogurt, Bakeries","{'Monday': '0:0-0:0', 'Tuesday': '9:0-22:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '12:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}"
968,tz-dssfFiPFGLJ7q_g_aLQ,Ghirardelli Soda Fountain & Chocolate Shop,"1710 E Buena Vista Dr, Disney Springs™ Marketplace at Walt Disney World® Resort",Lake Buena Vista,FL,32830,28.3696521386,-81.517868042,4.0,557,1,"{'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'Alcohol': ""'none'"", 'WiFi': ""'free'"", 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'DriveThru': 'False', 'DogsAllowed': 'False', 'WheelchairAccessible': 'True', 'BikeParking': 'False', 'RestaurantsTakeOut': 'False', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'True'}","Food, Chocolatiers & Shops, Candy Stores, Ice Cream & Frozen Yogurt, Specialty Food, Desserts","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}"
1153,hkqFm02Y2ax0Pd1BdEyl1A,D'lites of North Austin,"8127 Mesa Dr, Ste 204B",Austin,TX,78759,30.3730985,-97.755525,4.5,59,0,"{'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'Caters': 'False', 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Food, Health Markets, Specialty Food, Ice Cream & Frozen Yogurt, Desserts","{'Monday': '11:30-20:30', 'Tuesday': '11:30-20:30', 'Wednesday': '11:30-20:30', 'Thursday': '11:30-20:30', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0', 'Sunday': '12:0-20:30'}"
1280,miw4H3j5vBJvU3x-CPjtaA,Screamers Soft Serve and Treats,12211 3rd Avenue,Richmond,BC,V7A 1X4,49.1247293611,-123.1859490768,4.5,33,1,"{'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'Alcohol': ""'none'"", 'Caters': 'False', 'OutdoorSeating': 'True', 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'DogsAllowed': 'True', 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WiFi': ""'no'"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Food, Cafes, Ice Cream & Frozen Yogurt, Restaurants","{'Monday': '12:0-20:0', 'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}"
1407,cb1M5kDGGOgy_2AV7ZAkPw,Liberty Ice Cream,2 Mill St,Natick,MA,01760,42.2778848,-71.3770502,4.5,18,0,"{'BusinessAcceptsCreditCards': 'False', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""'free'"", 'BikeParking': 'True'}","Ice Cream & Frozen Yogurt, Food","{'Monday': '10:0-20:30', 'Tuesday': '10:0-20:30', 'Wednesday': '10:0-20:30', 'Thursday': '10:0-20:30', 'Friday': '10:0-20:30', 'Saturday': '10:0-20:30'}"
1455,-uuz5q7gNZfmCnBFjP490g,"Dippitys Italian Ices, Ice Cream & More!",478 N State Rd 434,Altamonte Springs,FL,32714,28.6555403,-81.4192518,4.0,7,0,"{'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True'}","Hot Dogs, Local Flavor, Food, Ice Cream & Frozen Yogurt, Restaurants","{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-22:0'}"
1531,Y2cj0TQvfSdRU3H55CkEgA,Shake Shack,"4400 Ashford Dunwoody Rd, Ste 3025",Dunwoody,GA,30346,33.923196,-84.339909,3.5,307,1,"{'BusinessAcceptsBitcoin': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'RestaurantsTakeOut': 'True', 'Smoking': ""u'outdoor'"", 'RestaurantsTableService': 'False', 'GoodForKids': 'True', 'Alcohol': ""u'beer_and_wine'"", 'BikeParking': 'True', 'RestaurantsDelivery': 'True', 'Ambience': ""{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}"", 'HappyHour': 'False', 'WheelchairAccessible': 'True', 'Caters': 'False', 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'CoatCheck': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'DriveThru': 'False', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForDancing': 'False', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'None', 'RestaurantsPriceRange2': '2', 'WiFi': ""'free'""}","Bars, Wine Bars, Nightlife, Beer Bar, Hot Dogs, American (New), Food, Fast Food, Restaurants, Ice Cream & Frozen Yogurt, Burgers","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '10:0-22:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}"
1562,-SkwKPbo5oK1-NtKkupNvw,The Daily Scoop,232 Main St,Stoneham,MA,02180,42.486351481,-71.0998176969,3.5,46,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'"", 'BikeParking': 'True', 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'False'}","Ice Cream & Frozen Yogurt, Desserts, Food","{'Monday': '12:0-17:0', 'Tuesday': '11:0-22:30', 'Wednesday': '11:0-22:30', 'Thursday': '11:0-22:30', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}"
1612,ZRDVnQ-HsyYmuccAEM-sRQ,The Pizza Press,6079 W Irlo Bronson Memorial Hwy,Celebration,FL,34747,28.3336498401,-81.5279440329,4.5,178,1,"{'WheelchairAccessible': 'True', 'WiFi': ""'free'"", 'RestaurantsDelivery': 'True', 'HasTV': 'False', 'Alcohol': ""u'beer_and_wine'"", 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'Caters': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': None}"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'RestaurantsTableService': 'False', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': None, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': None, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}"", 'DogsAllowed': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True'}","Pizza, Restaurants, Bars, Food, Beer Bar, Salad, Nightlife, Ice Cream & Frozen Yogurt","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}"
1677,hqRp9Oy5mzO9ZxgVrpIgQQ,Emack & Bolio's,5800 Universal Blvd,Orlando,FL,32819,28.4770904,-81.4645848,4.0,9,1,"{'BikeParking': 'False', 'WiFi': ""'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2'}","Ice Cream & Frozen Yogurt, Food",
1755,FSoBDbeYcTBP003uZQ3AQQ,Froyolo,545 N McDonough St,Decatur,GA,30030,33.774384,-84.296325,3.0,9,0,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Ice Cream & Frozen Yogurt, Food",
1880,IfWfu0u2GIvkNR8diGmUcQ,Waka Waka,4413 Guadalupe St,Austin,TX,78751,30.3104923,-97.7326952,4.5,8,0,"{'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""'none'"", 'HasTV': 'False', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'False', 'RestaurantsReservations': 'False', 'WiFi': ""u'no'"", 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'RestaurantsTakeOut': 'True'}","Ice Cream & Frozen Yogurt, Waffles, Food, Restaurants","{'Monday': '0:0-0:0', 'Wednesday': '15:0-23:0', 'Thursday': '15:0-23:0', 'Friday': '15:0-23:0', 'Saturday': '15:0-23:0', 'Sunday': '17:0-23:0'}"
2121,fz2U9Mr9HuQTJeryUePu0g,Baskin-Robbins 31 Ice Cream Stores,7000 NE Highway 99,Vancouver,WA,98665,45.6733314,-122.6634623,2.5,18,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Food, Ice Cream & Frozen Yogurt",
2327,jvymM8bckHpR3Ccwecy8-Q,Sweet Christopher's,601 Centre St,Jamaica Plain,MA,02130,42.3148809,-71.1142953,4.0,14,0,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False'}","Food, Bakeries, Desserts, Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants",
2382,V9uLqtYDTABe7zbiCJf9nw,Ixoyc Ice Cream,"2750 Michigan Ave, Ste B-1",Kissimmee,FL,34744,28.3277006,-81.3917191,4.0,5,0,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""u'beer_and_wine'"", 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsDelivery': 'False', 'NoiseLevel': ""u'quiet'"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'BikeParking': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}""}","Caterers, Ice Cream & Frozen Yogurt, Cuban, Restaurants, Food, Event Planning & Services",
2394,02PqL5zX-Wtf0-Sm9HLq5A,Sonic Drive-In,"11801 US Hwy 290 W, Bldg B",Austin,TX,78737,30.2126280911,-97.9664853215,1.5,37,0,"{'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'loud'"", 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'False', 'HappyHour': 'True', 'WiFi': 'None', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'BikeParking': 'False', 'OutdoorSeating': 'True', 'Alcohol': ""u'none'"", 'DriveThru': 'True', 'HasTV': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Food, Restaurants, Fast Food, Ice Cream & Frozen Yogurt, Burgers","{'Monday': '10:0-23:0', 'Tuesday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-22:0'}"
2538,kbT0fZGqyxOwsY-mcn4Vzg,Brigham's Ice Cream,2 Trapelo Rd,Belmont,MA,02478,42.3970938705,-71.1828231812,3.0,12,0,"{'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'False'}","Food, Ice Cream & Frozen Yogurt",
2656,B1y2XkVRLxlvj2sp0vEKKA,Old Farmhouse Kitchen,7985 N Fraser Way,Burnaby,BC,V5J 0A4,49.1880766,-122.9837983,4.5,8,1,"{'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsReservations': 'False'}","Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Delis, Food","{'Monday': '0:0-0:0', 'Tuesday': '8:0-17:30', 'Wednesday': '8:0-17:30', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:30', 'Saturday': '9:0-16:30'}"
2692,3HNq9KV8A7OBiqlWm8kZ8g,Swirl Frozen Yogurt,3538 SE Hawthorne Blvd,Portland,OR,97214,45.511922,-122.6278151,4.0,118,0,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""'free'"", 'RestaurantsPriceRange2': '1'}","Ice Cream & Frozen Yogurt, Food",
2774,zxbkDCJ85JHgC8CWcdMCZw,Sweet Sip,285 Adams St,Boston,MA,02122,42.2995428,-71.0586446,4.0,52,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'False', 'Caters': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'WiFi': ""'free'"", 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'False', 'DriveThru': 'False'}","Juice Bars & Smoothies, Coffee & Tea, Desserts, Ice Cream & Frozen Yogurt, Food","{'Monday': '12:0-20:0', 'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}"
2788,98OyzgghQeRyaCZSDcaLCA,Freshii,10355 152nd St,Surrey,BC,V3R 7C1,49.188987057,-122.8022241989,3.0,29,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '2', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'HasTV': 'True', 'RestaurantsReservations': 'False'}","Vegan, Food Court, Restaurants, Juice Bars & Smoothies, Fast Food, Ice Cream & Frozen Yogurt, Food, Salad, Vegetarian","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-21:0'}"
